explanations,datasets,attributed_fns,methods,reversed,Value
attention,any,logit,baseline,original,"[96.589355   4.466051   6.8769026  6.0727034  5.6618924 12.111677
 12.221407 ]"
attention,any,logit,baseline,original,[98.938446  8.614545  8.855671 14.855453 12.73588 ]
attention,any,logit,baseline,original,"[82.67131    2.044338   2.1855204  1.8244305  1.5452116  3.0899851
  4.9426646  6.613159   6.0826073  8.053956  13.661907  11.2849045]"
attention,any,logit,baseline,original,[88.58794   6.326391  5.433975  7.374949 23.39425  12.882503]
attention,any,logit,baseline,original,"[88.17633    2.9709477  3.8240066  4.3469386  6.1223454 11.461393
 15.770037  11.32799  ]"
attention,any,logit,baseline,original,[111.54433   20.172602  12.283081]
attention,any,logit,baseline,original,"[91.030136   4.185182   4.9002175  9.868301   8.78722   15.033996
 10.194953 ]"
attention,any,logit,baseline,original,"[73.22024    2.039589   2.4969134  1.1324899  1.4429358  1.5103809
  2.7187428  1.5666801  1.3914587  2.5686693  2.0918205  2.2717335
  1.8212605  1.4241462  1.3414879  1.9432526  1.9640267  2.8041477
  6.4663815  8.23543   14.500111   9.048105 ]"
attention,any,logit,baseline,original,"[88.96114    5.2714586  4.7130613  9.27351   10.87645   14.555716
 10.348659 ]"
attention,any,logit,baseline,original,[93.98155    7.2879386  8.434085  20.590572  13.705856 ]
attention,any,logit,baseline,original,"[86.67064    3.1310563  2.417039   4.342577   6.885016   9.007932
 18.104511  13.441228 ]"
attention,any,logit,baseline,original,"[74.37183    1.5023273  1.3258753  1.2196865  1.3710792  1.8317807
  1.6640346  1.540406   1.5023286  3.1106126  2.5956628  3.294202
  3.0010214  4.711751   4.292711   3.8006647  7.869982  13.3698845
 11.624157 ]"
attention,any,logit,baseline,original,[91.355835  7.392838  9.065193 21.328403 14.857733]
attention,any,logit,baseline,original,[82.91233   8.826981  8.696261  8.289656  8.667485 15.584597 11.022689]
attention,any,logit,baseline,original,[92.15166    6.1880126  9.202677   9.861195  16.531096  10.06536  ]
attention,any,logit,baseline,original,[93.20241   8.652797  7.204712 12.135692 11.588995 11.215398]
attention,any,logit,baseline,original,"[80.48247    3.3853605  3.3204532  3.9100733  3.4416513  3.2997763
  6.4980607  6.605603   8.569282  12.44683   12.040429 ]"
attention,any,logit,baseline,original,"[74.45232    2.993217   2.5180917  4.2457614  2.326816   2.5152972
  2.3023324  3.3793912  3.166579   3.4934359  8.954152  10.356083
 13.338628   9.957895 ]"
attention,any,logit,baseline,original,"[94.2592     5.3553257  3.380098   4.0220165  6.9449215 16.605501
 13.432935 ]"
