explanations,datasets,attributed_fns,methods,reversed,Value
attention,any,logit,baseline,original,[114.38285   18.730715  10.886441]
attention,any,logit,baseline,original,[107.00121   12.84316   11.789097  12.366527]
attention,any,logit,baseline,original,[94.42157    5.2680163  6.6691103 11.094744  13.066614  13.479947 ]
attention,any,logit,baseline,original,[94.20862  10.116777 12.590459 14.496203 12.587937]
attention,any,logit,baseline,original,"[88.351685   6.2355933  7.205801   9.251485   9.350213  11.961235
 11.643989 ]"
attention,any,logit,baseline,original,[98.04457   10.352628   9.629306  12.3949375 13.57856  ]
attention,any,logit,baseline,original,[99.555214 10.910607  9.089638 11.16719  13.277355]
attention,any,logit,baseline,original,[114.38285   18.730715  10.886441]
attention,any,logit,baseline,original,[106.81277   12.42827   12.297772  12.461191]
attention,any,logit,baseline,original,[105.75164   12.04527   12.219644  13.983441]
attention,any,logit,baseline,original,[106.565735  12.634327  12.393218  12.40672 ]
attention,any,logit,baseline,original,"[81.28674    2.86887    2.8780046  8.1554     8.65338    7.432303
  7.9361343 12.8025    11.986662 ]"
attention,any,logit,baseline,original,[106.565735  12.634327  12.393218  12.40672 ]
attention,any,logit,baseline,original,[106.18214   12.613932  13.242951  11.960985]
attention,any,logit,baseline,original,[97.720764 12.652957 10.33502  11.522019 11.769237]
attention,any,logit,baseline,original,[92.228035  8.196716  9.293631  8.756062 12.873535 12.65203 ]
attention,any,logit,baseline,original,[94.103966 11.042639  9.397016 15.390896 14.065479]
attention,any,logit,baseline,original,"[77.29077    1.6653097  1.8955846  2.4560404  2.0658643  1.6435863
  1.957592   2.3813457  3.2799115  3.1384327  3.4887927 10.156059
  9.071982  13.798019   9.710706 ]"
attention,any,logit,baseline,original,"[72.74281    1.4769729  3.1382017  4.2914443  6.2016773  3.5749342
  3.1559253  7.5753255  5.8134723  8.226267  13.215564  14.587399 ]"
attention,any,logit,baseline,original,[95.04758   6.182916  7.785198 10.349398 11.717637 12.917274]
attention,any,logit,baseline,original,[94.44305    7.48197    7.8977346  9.142436  10.419827  14.614989 ]
attention,any,logit,baseline,original,"[77.22715    2.7473204  1.8919636  1.6918983  1.9555757  1.8918359
  2.7983162  1.6063886  2.3118656  3.1779542  2.6144161  6.350009
  8.342253   8.398361   9.766991  11.227697 ]"
